id,name,id_location,id_department,postal_code,adress
70100352324743,SALUDFARMA,10035020000,35,4750,Mitre 14
70100352124818,BOTIQUIN OSEP BELEN,10035020000,35,4750,Sarmiento 386
70100492324465,VITAL,10049050,49,4700,AV. SANCHEZ OVIEDO Nº1047
70100492324451,FARMAGEN,10049050,49,4700,Guemes  307
70100492324460,SALTA,10049050,49,4700,CHACABUCO Nº 687
70100492324481,SARMIENTO,10049030000,49,4700,Sarmiento Nº 836
70101122324492,ESQUIU,10112040007,112,4707,Joaquin Acuña 125
70100492724538,2 DE FEBRERO,10049030000,49,4700,San Martín 168
70100492324540,CHANGO MAS,10049030000,49,4700,Acosta Villafañe 2420
70100492324560,MAS SALUD II,10049030000,49,4700,Avenida Costa Villafañe 1557
70100492324478,LA TABLADA,10049030000,49,4700,Rivadavia Nº 1110
70100492324479,MEDIPLUS IV,10049030000,49,4700,Conesa 164
70100492324555,UNIVERSITARIA,10049030000,49,4700,Av. Belgrano Nº101
70100492324562,RAIDEN,10049030000,49,4700,Republica Nº 634
70100492324563,VIRGEN DE LUJAN,10049030000,49,4700,Av. Alem Nº 1013
70100492324463,CATAMARCA,10049050,49,4700,Mate de Luna esq. Rivadavia Nº 1001
70100492324552,CATEDRAL,10049030000,49,4700,Rivadavia Nº 626
70100632324561,SANTA ISABEL,10063040005,63,4707,Ruta Nº 41 S/N
70100912324565,FARMA SALUD,10091150000,91,4139,Mitre Nº 180
70100492324489,VIRGEN DEL CARMEN,10049030000,49,4700,San Martin Nº 675
70100492324490,CHACABUCO,10049030000,49,4700,Chacabuco Nº 647
70100492324495,DEMIN,10049030000,49,4700,Av. Guemez Nº 126
70100492324471,SAN FRANCISCO,10049030000,49,4700,Juan B. Justo Nº 1
70101122324472,DEL ROSARIO,10112010000,112,4716,Padre Esquiú 933 SAN ISIDRO VALLE VIEJO
70100352324579,ELIEZER,10035020000,35,4750,General Roca Nº 232
70100912324570,SANTA MARIA,10091150000,91,4139,San Martin Nº 311
70100912324572,MARTINA,10091150000,91,4139,Av. 9 de Julio Nº 800
70100492324576,LEDHER,10049030000,49,4700,Av. Pte. Castillo Esq. Av. San Martin Nº 1
70100492324482,LA GUARDIA,10049030000,49,4700,Dr. Julio Herrera Nº 278
70100212324486,DEL HUAYCO,10021020000,21,4740,Av. José P. Jais Nº 1
70100492324547,MINERVA,10049030000,49,4700,Sarmiento Nº 598
70100492324466,DEL SOL,10049050,49,4700,AV GUEMES Nº856
70100492324464,SAN MARTIN,10049050,49,4700,MOTA BOTELLO Nº 601
70100492324493,SAN VICENTE,10049030000,49,4700,Rivadavia Nº 319
70101122324544,DEL PASEO,10112040007,112,4707,Av. Pte. Castillo Nº 801
70101052324485,MARIA MERCEDES,10105180000,105,5340,San Nicolas de Bari Nº 38
70100492324483,SERENA,10049030000,49,4700,Gobernador Felipe Figueroa 543
70101052324484,SANTA RITA DE CASIA,10105180000,105,5340,Rivadavia Esquina Eva Perón
70100492324519,MARIA AUXILIADORA,10049030000,49,4700,Av. Gdor. Galindez Nº 401
70100702324520,DEL CENTRO,10070140000,70,5260,Sarmiento Nº 109
70101052324522,CENTRAL,10105180000,105,5340,25 de Mayo Nº 396
70100492324501,DR. AHORRO,10049030000,49,4700,Av. Sanchez Oviedo Nº 601
70100352324513,ARIANA,10035020000,35,4750,Sarmiento 211 BELÉN
70100492324548,NUEVA RIVADAVIA,10049030000,49,4700,Rivadavia Nº 740
70100492324549,DEL PARQUE,10049030000,49,4700,Av. Belgrano Nº 960
70100492324543,ELENA,10049030000,49,4700,Ayacucho Nº 801
70100492724488,OBRA SOCIAL DE LOS EMPLEADOS PUBLICOS (O.S.E.P.),10049030000,49,4700,Hernandez de Pedraza y Pte. Castillo
70100492324470,SAN BERNARDO,10049030000,49,4700,Av. Virgen del Valle Nº 998
70100912324512,HERMOSILLA,10091150000,91,4139,Esquiú 472
70100702324514,ADRIANA BARBERO,10070140000,70,5260,Pueyrredon Nº 139
70100352324473,LEBENFARMA,10035020000,35,4750,Av. Calchaquí Nº 490
70100702324474,CHIALVA,10070140000,70,5260,Sarmiento Nº 169
70100493024539,FARMACIA CENTRAL DE LOS 365 DIAS,10049030000,49,4700,Chacabuco Nº 169
70100422324569,AVENIDA,10042040000,42,4728,Av. Nazar S/N
70100912324571,DIVINA MISERICORDIA,10091150000,91,4139,Esquiú Nº 90
70101052324574,FARMAVIDA,10105180000,105,5340,25 de Mayo Nº 399
70100492324475,SAN AGUSTIN,10049030000,49,4700,Mate de Luna Nº 298
70101122324527,SANTA LUCIA,10112040005,112,4707,Avenida Presidente Castillo
70101052324529,DEL DIVINO NIÑO,10105110001,105,5345,Diego de Frites S/N
70100492324467,CENTRO,10049050,49,4700,RIVADAVIA Nº 970
70100492324541,DE LA COMUNIDAD,10049030000,49,4700,Salta Nº 36
70101052324542,CENTRAL S.H.,10105180000,105,5340,Pte. Peron S/N
70100492324550,LAS MIL,10049030000,49,4700,Av. Misiones Nº 2018
70100492324551,OCAMPO,10049030000,49,4700,Avenida Ahumada y Barros
70100212324559,SANTA RITA FARMASHOP,10021020000,21,4740,Nuñes del Prado 161
70100912324533,SAN EXPEDITO,10091150000,91,4139,1º de Mayo Nº 141
70100492324575,FARMA LAN,10049030000,49,4700,Virgen del Valle 2200
70100492324506,TINOGASTA,10049030000,49,5340,Pte. Perón
70100212324525,ANDALGALA,10021020000,21,4740,Nuñez de Prado Nº 117
70100492324526,SAGRADO CORAZON DE JESUS,10049030000,49,4700,Mate de Luna Nº1
70100982324469,SANTA ROSA,10098020000,98,4723,9 de Julio Nº 1
70101052324528,MARIANGELA,10105110001,105,5345,Diego de Frites S/N
70100212324532,LIBERTAD,10021020000,21,4740,Av. Libertad S/N
70101052324534,DE LOS ANGELES,10105180000,105,5340,Av. Pte. Peron Nº 785
70100912324535,SAN JOSE,10091150000,91,4139,25 de Mayo Nº 10
70100492324545,DEL VALLE,10049030000,49,4700,Maipú Nº 401
70100492324580,SANTA BARBARA,10049030000,49,4700,Alfonso de Tula Esq. La Toma
70100702324566,DAVILA,10070140000,70,5260,Barrio 88 Viviendas Casa Nº 82
70100492324567,SAN ANDRES,10049030000,49,4700,Av. Arturo ILLIA Nº 514
70101052324494,MAYO,10105180000,105,5340,25 de Mayo Nº 425
70100492324578,MITRE,10049030000,49,4700,Av. Belgrano Nº 26
70100912324508,BELEN S.H.,10091150000,91,4139,San Martin Nº 1
70100702324536,MARIA BELEN,10070140000,70,5260,Pueyrredon Nº 233
70100912324516,SAN MARCOS,10091140005,91,4139,16 de Agosto S/N
70100982324521,BARACAT,10098020000,98,4723,Av. Nestor Kirchner S/N
70100982324523,SAN CAYETANO,10098010000,98,4723,Av. 9 de Julio S/N
70100352324556,BELEN S.H.,10035020000,35,4750,Lavalle Nº 530
70100492324557,ARGENTINA,10049030000,49,4700,Av. Belgrano Nº 1
70100492324530,FEDERAL,10049030000,49,4700,San Martin Nº 268
70100492324507,LA GRUTA,10049030000,49,4700,Av. Virgen del Valle Nº 1815
70100492324546,9 DE JULIO,10049030000,49,4700,República Nº 1001
70101122324553,VALLE VIEJO,10112040007,112,4707,Av. Pte Castillo Nº 946
70100492124554,LA ESQUINA EXPRESS,10049030000,49,4700,Rivadavia Nº 998
70100352324573,SANTA RITA - (B),10035020000,35,4750,San Martín  382
70100492324468,SANTA ROSA DE LIMA,10049050,49,4700,AV.VIRGEN DEL VALLE Nº 314
70100212324537,CRESPIN,10021020000,21,4740,San Martín  570
70100982324476,LOS ALTOS,10098050000,98,4723,Av. San Martin y Mate de Luna N 292
70100702324477,ICAÑO,10070070000,70,5265,San Martin Nº 1
70100212324480,IDEAL,10021020000,21,4740,San Martín Nº 650
70100352324594,VIRGEN DEL VALLE,10035110000,35,4753,Fray Mamerto Esquiu esq. Sarmiento Ruta 40
70100352324620,ANDRADA,10035020000,35,4750,Urquiza 438  Belen
70100492324709,COLON,10049080,49,4700,Avenida Enrique Ocampo
70100632324625,PIEDRA BLANCA,10063040001,63,4707,LA CALLECITA S/N
