id,name,id_location,id_department,postal_code,adress
70660842373694,DEL ANGEL (EL TALA),66084020000,84,1,GRAL.GUEMES 247
70660282373695,REARTE ANDRES RAMON,66028050000,28,1,9 DE JULIO 555
70660282373696,SCHUEVERMANN SERGIO ENRIQUE,66028050000,28,4400,LA RIOJA 383
70660282373697,FERNANDEZ JOSE FLORENCIO,66028050000,28,4400,INDEPENDENCIA 69
70660282373698,CANIZARES MARCELO,66028050000,28,1,SAN MARTIN 699
70660282373699,DOMINGUEZ DENTONE ANDRES EDUARDO,66028050000,28,1,CORONEL VICENTE TORINO 301
70660352373700,MORALES ALBERTO LIBERATO,66035010000,35,4403,GÜEMES 301
70660282373701,ALVAREZ MAXIMO TOMAS,66028050000,28,4400,ALVARADO 1485
70660282373702,GAFFET RICARDO MARCELO,66028050000,28,4400,FLORIDA 602
70660282373703,DIEGUEZ MARCELO GUSTAVO,66028050000,28,4400,CERRO SOYANO 3314
70660282373704,ARAMAYO NESTOR SANDRO,66028050000,28,4400,HIPOLITO IRIGOYEN 48
70660562373705,VERA DEMETRIO RAMON,66056090000,56,4550,BUENOS AIRES 355
70660282373706,VALDEZ DANIEL GUSTAVO,66028050000,28,1,BATALLA DE SALTA 963
70660562373707,ZAMAR OMAR ANTONIO,66056220,56,1,GUEMES 431
70660072373813,WASHINGTON GABRIELA ELIZABETH,66007010000,7,1,GRAL GUEMES 369
70660282373814,CASTRO SAHONERO  RUTH E,66028050000,28,1,ZABALA 492
70660282373815,HANNE MARCELA VIVIANA,66028050000,28,1,GRAL GUEMES 899
70660282373816,NADER CECILIA FABIANA,66028050000,28,4400,20 DE FEBRERO 185
70660282373817,HIGUERAS LILIANA BEATRIZ,66028050000,28,1,MITRE 1001
70660282373818,SALAZAR RAQUEL MARIA,66028050000,28,1,AVENIDA ENTRE RIOS 1903
70660282373819,OLA MARIA CECILIA,66028050000,28,1,JOSE ARTIGAS 965
70660562373820,ZUNINO VALERIA CECILIA,66056220,56,4560,AVENIDA PACKHAM 541
70660562373821,MARTINICH GABRIELA EVANGELINA,66056220,56,4560,ALBERDI 798
70660492373822,RAMOS ALICIA MARIA,66049040000,49,0,JUJUY 382
70661122373823,HATTI MARIA AMINA,66112050000,112,1,SAN MARTIN 360
70660282373824,ROBLES DANIELA MARIA VIRGINIA,66028050000,28,1,MZA.5 CASA 115 BARRIO SAN NICOLAS I
70660282373825,ARTINIAN MARIA ELENA,66028050000,28,1,AVENIDA DI PASCUO 2965
70660492373826,ASTORGA ROBERTO JAVIER,66049040000,49,4562,AVENIDA SAN MARTIN 397
70660562373827,MIELÑIK EUGENIA CARINA,66056220,56,1,9 DE JULIO 406
70660282373828,MIOZZO KARINA,66028050000,28,1,MANZ.41 CASA 21 B§ SAN CARLOS
70661472373829,VILCA ELBA ELISA,66147030000,147,4405,CECILIO RODRIGUEZ 149
70660562373830,AMELLA MARCELA MARIA,66056090000,56,4550,24 DE SEPTIEMBRE 549
